sentence,Ausschreibungskriterium,Kategorie Kriterium
"Sie verwenden Öle, Gewürze, Streusalze, Zucker, Backwaren, wie auch weitere Basisprodukte 
und Nahrungsmittel für die Zwischenmahlzeiten zu 50% (an Kosten gemessen) in der Qualität 
«Bio» und (bei Produkten aus der 3. Welt) mit dem Gütesiegel «Max Havelaar».","['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.']",['TS']
"Sie verwenden Milch und Milchprodukte zu 90% (gemessen an den Kosten) aus Schweizer 
Produktion in der Qualität «Bio».","['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.', '100 % des Gesamtgewichts der gekauften Milch müssen mindestens dem von der Schweizerischen Branchenorganisation Milch definierten Standard “ Grüner Teppich/Swissmilk green” oder einem gleichwertigen Standard entsprechen, und mindestens X % des Gesamtgewichts müssen dem Standard “IP- Suisse” oder einem gleichwertigen Standard entsprechen.', 'Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']","['TS', 'ZK', nan]"
"Sie produzieren Sättigungsbeilagen zu 80% (in 8 von 10 Mahlzeiten) in der Qualität «Bio» und 
verwenden (bei Produkten aus der 3 Welt) Produkte mit dem Gütesiegel «Max Havelaar». 
Kartoffeln verwenden Sie ausschliesslich in der Qualität «Bio Suisse» aus der Region (35km 
von Biel).","['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.']",['TS']
"Kartoffeln verwenden Sie ausschliesslich in der Qualität «Bio Suisse» aus der Region (35km 
von Biel).","['Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']",[nan]
"Früchte verarbeiten und liefern Sie zu 80% (gemessen an den Kosten) in Qualität «Bio Suis-
se» (Siehe Ausnahmen unter g).","['Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.', 'Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.']","[nan, 'TS']"
"Fruchtsäfte verarbeiten und liefern Sie zu 80% (gemessen an den Kosten) in der Qualität 
«Bio»","['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.']",['TS']
"Sie liefern und verarbeiten zu 80% Früchte (gemessen an den Kosten) aus der Region (35km 
von Biel).","['Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']",[nan]
"Ausnahmen: Bananen, Mandarinen, Clementinen, Orangen: Diese sollen zu 70% (Gemessen 
an den Kosten) aus fairem Handel (Label Max Havelaar oder vergleichbar) und wenn möglich 
aus biologischer Produktion stammen.","['Mindestens X% des Gesamtgewichts der exotischen Produkte (1) (insbesondere Kaffee, Kakao, Schokolade, exotische Früchte und Fruchtsäfte) haben ein Label, das in offiziellen Leitfäden empfohlen wird.']",['ZK']
Sie verwenden zu 70% Gemüse (gemessen an den Kosten) in der Qualität «Bio Suisse».,"['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.', 'Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']","['TS', nan]"
Sie verwenden zu 70% Gemüse (gemessen an den Kosten) aus der Region (35km von Biel).,"['Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']",[nan]
