query,matched_text,bi_score,cross_score
"TS Das Angebot umfasst eine attraktive Auswahl zur Steigerung des Konsums von Obst, Gemüse, Hülsenfrüchten, Getreide, Nüssen, Kernen/Samen und Pflanzenölen entsprechend der von der schweizerischen Lebensmittelpyramide empfohlenen Nahrungsaufnahme.","2 Angebote erfüllen Erwartungen nicht Sofern keines der eingereichten Angebote die in der Ausschreibung oder den Ausschreibungsunterlagen festgelegten Kriterien erfüllt oder keine wirtschaftliche Beschaffung erlauben, wird eine Neubeurteilung der gesamten Ausschreibung oder Teilen davon vorgenommen und eine neue, allenfalls veränderte Ausschreibung geprüft (vgl.",0.44795548915863037,0.92875123
"TS Das Angebot umfasst eine attraktive Auswahl zur Steigerung des Konsums von Obst, Gemüse, Hülsenfrüchten, Getreide, Nüssen, Kernen/Samen und Pflanzenölen entsprechend der von der schweizerischen Lebensmittelpyramide empfohlenen Nahrungsaufnahme.","Mit der Abgabe seines Angebots hat der Anbieter seine Fähigkeit zur Erbringung der ausgeschriebenen Leistungen 7 von 18 nachzuweisen, sowie unter anderem die Einhaltung der gesetzlichen Anforderungen bezüglich Arbeitsschutz und Arbeitsbedingungen zu bestätigen.",0.42548099160194397,0.83149576
"TS Das Angebot umfasst eine attraktive Auswahl zur Steigerung des Konsums von Obst, Gemüse, Hülsenfrüchten, Getreide, Nüssen, Kernen/Samen und Pflanzenölen entsprechend der von der schweizerischen Lebensmittelpyramide empfohlenen Nahrungsaufnahme.",9.2 Gliederung des Angebots Das Angebot ist in Kapitel zu gliedern und in einem Ordner mit Register abzuliefern.,0.42618727684020996,0.8105674
"TS Das Angebot umfasst eine attraktive Auswahl zur Steigerung des Konsums von Obst, Gemüse, Hülsenfrüchten, Getreide, Nüssen, Kernen/Samen und Pflanzenölen entsprechend der von der schweizerischen Lebensmittelpyramide empfohlenen Nahrungsaufnahme.","Vor dem Kapitel 1 ist ein Inhaltsverzeichnis einzufügen, welches alle Seiten des Angebots umfasst.",0.45218077301979065,0.549596
"TS Das Angebot umfasst eine attraktive Auswahl zur Steigerung des Konsums von Obst, Gemüse, Hülsenfrüchten, Getreide, Nüssen, Kernen/Samen und Pflanzenölen entsprechend der von der schweizerischen Lebensmittelpyramide empfohlenen Nahrungsaufnahme.","6 ZUSAMMENARBEIT ANGEBOTSENTWICKLUNG Der Anbietende verfügt über ein Konzept, wie Anregungen zur Angebotsplanung aufgenommen oder wie Opti- mierungen von den Betreuungseinrichtungen abgeholt und",0.457969069480896,0.25774038
"TS Das Angebot umfasst eine attraktive Auswahl zur Steigerung des Konsums von Obst, Gemüse, Hülsenfrüchten, Getreide, Nüssen, Kernen/Samen und Pflanzenölen entsprechend der von der schweizerischen Lebensmittelpyramide empfohlenen Nahrungsaufnahme.","Die Ausschreibung umfasst Angebotsplanung, Produktion, Logistik, Kommunikation, Support, Schulung, Bera- tung, elektronische Bestellplattform und Verrechnung.",0.5118961334228516,-0.019064479
"TS Das Angebot umfasst eine attraktive Auswahl zur Steigerung des Konsums von Obst, Gemüse, Hülsenfrüchten, Getreide, Nüssen, Kernen/Samen und Pflanzenölen entsprechend der von der schweizerischen Lebensmittelpyramide empfohlenen Nahrungsaufnahme.","11 Offertabgabe (Form, Termin, Adresse) Mit der Unterzeichnung des Angebots bestätigt der Anbieter ausdrücklich, dass die Angaben korrekt und vollständig sind.",0.5002557635307312,-0.07555287
"TS Das Angebot umfasst eine attraktive Auswahl zur Steigerung des Konsums von Obst, Gemüse, Hülsenfrüchten, Getreide, Nüssen, Kernen/Samen und Pflanzenölen entsprechend der von der schweizerischen Lebensmittelpyramide empfohlenen Nahrungsaufnahme.","Erfüllen die genannten Subunternehmenden nach begründeter Einschätzung des Auf- tragsgebenden die Anforderungen oder Eignungskriterien nach eingeholter Stellungnahme des Anbietenden nicht, kann die Vergabestelle eine Alternative verlangen oder das Angebot wegen Nichteignung ausschliessen.",0.41035860776901245,-0.43143383
"TS Das Angebot umfasst eine attraktive Auswahl zur Steigerung des Konsums von Obst, Gemüse, Hülsenfrüchten, Getreide, Nüssen, Kernen/Samen und Pflanzenölen entsprechend der von der schweizerischen Lebensmittelpyramide empfohlenen Nahrungsaufnahme.","4.2 Eignungskriterien, Bestätigungen Der Anbieter beziehungsweise dessen Angebot muss die in der Selbstdeklaration aufgeführten Eignungskriterien erfüllen und er muss die verlangten Bestätigungen vorbehaltlos abgeben, um für den zweiten Schritt (Detailprüfung) berücksichtigt zu werden.",0.4641649127006531,-0.43295696
"TS Das Angebot umfasst eine attraktive Auswahl zur Steigerung des Konsums von Obst, Gemüse, Hülsenfrüchten, Getreide, Nüssen, Kernen/Samen und Pflanzenölen entsprechend der von der schweizerischen Lebensmittelpyramide empfohlenen Nahrungsaufnahme.","6 VERGABE Die Vergabestelle behält sich vor, gestützt auf § 28 der kantonalen Submissionsverordnung, Anbietende vom Verfahren auszuschliessen, insbesondere bei Unvollständigkeit des Angebots oder nicht erfüllen der Eignungs- kriterien.",0.41568636894226074,-0.72435606
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,Für Kinder die vegetarisch oder kein Schweinefleisch essen wird jeden Tag eine Ei- weisskomponente auf vegetarischer Basis angeboten.,0.5668956637382507,1.385997
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"2 Angebote erfüllen Erwartungen nicht Sofern keines der eingereichten Angebote die in der Ausschreibung oder den Ausschreibungsunterlagen festgelegten Kriterien erfüllt oder keine wirtschaftliche Beschaffung erlauben, wird eine Neubeurteilung der gesamten Ausschreibung oder Teilen davon vorgenommen und eine neue, allenfalls veränderte Ausschreibung geprüft (vgl.",0.3953184485435486,1.311995
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,Erfahrung von mindestens zwei Jahren in der Ausführung von vergleichbaren Leistungen im Bereich Mit- tagsverpflegung von Kindern im Alter von ein bis zwölf Jahren.,0.42077091336250305,-0.025529224
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,Vertragseckpunkte Nach Rechtskraft des Zuschlags wird mit dem ausgewählten Anbieter ein schriftlicher Vertrag betreffend die Erbringung der ausgeschriebenen Dienstleistung zu den offerierten Konditionen abgeschlossen.,0.402001291513443,-1.4926232
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,3 Hauptmahlzeiten pro Woche vegetarisch,0.5185437798500061,-1.9675905
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,Die übrigen Angebote erhalten einen prozentualen Abzug im Verhältnis zur Preisspanne der eingegangenen Angebote.,0.4022175073623657,-2.7179031
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"2 EIGNUNGSPRÜFUNG Angebote können ohne weitere Prüfung vom Verfahren ausgeschlossen werden, wenn die Eignungskriterien gemäss 10. nicht erfüllt sind.",0.4119607210159302,-5.2421
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"Die eingesetzten Bananen, Zucker, Reis, Orangensaft und weitere Kolonialwaren wie Teigwaren, Getreide und Getreide- produkte tragen die Auszeichnung von Max Havelaar für fairen Handel und für faire Arbeitsbedingungen im Produktionsland.",0.44253286719322205,-5.6646953
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"Im abzuschliessenden Vertrag mit dem künftigen Anbieter wird insbesondere auch klar geregelt, welche Daten wem bekannt gegeben werden dürfen.",0.40082404017448425,-6.064819
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"Insbesondere können Angebote ohne weitere Prüfung vom Verfahren ausgeschlossen werden,",0.40312686562538147,-6.2268505
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,Erfahrung von mindestens zwei Jahren in der Ausführung von vergleichbaren Leistungen im Bereich Mit- tagsverpflegung von Kindern im Alter von ein bis zwölf Jahren.,0.45463836193084717,-0.08731057
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,Für Kinder die vegetarisch oder kein Schweinefleisch essen wird jeden Tag eine Ei- weisskomponente auf vegetarischer Basis angeboten.,0.5053272247314453,-2.9914742
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"Preisangebotsrunden sind nicht zulässig, das heisst nach der Offerteingabe sind keine Preisanpassungen mehr möglich.",0.46235722303390503,-3.3038783
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,3 Hauptmahlzeiten pro Woche vegetarisch,0.5371559858322144,-4.5061164
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"Justizvollzugsanstalten haben die inhaftierten Personen zu den üblichen Zeiten mit Verpflegung zu versorgen, die angemessen zubereitet und ausgegeben wird und in Qualität und Menge den Anfor- derungen der Ernährungslehre und modernen Hygiene sowie dem Alter und Gesundheitszustand entspricht und soweit wie möglich religiösen und kulturellen Geboten Rechnung trägt (Empfehlungen des Europarats zum Freiheitsentzug, Europäische Strafvollzugsgrundsätze, Anhang zur Empfehlung R(87)3, Ziffer 25.1).",0.4630489647388458,-5.11691
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"1 SUBUNTERNEHMEN Der Vertrag wird mit dem Anbietenden abgeschlossen, der das gesamte ausgeschriebene Dienstleistungspa- ket abdeckt.",0.481655091047287,-5.288497
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,Die Geheimhaltungspflicht besteht schon vor Vertragsabschluss und bleibt auch nach Beendigung des Vertragsverhältnisses bestehen.,0.5140479803085327,-5.7639427
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,Die Geheimhaltungspflicht besteht schon vor Vertragsabschluss und bleibt auch nach Beendigung des Vertragsverhältnisses bestehen.,0.5140479803085327,-5.7639427
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,Es sind keine Teilangebote zulässig.,0.4470207691192627,-5.846394
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,Zweck des Dokuments Die Ausschreibungsunterlagen bilden in ihrer Gesamtheit die Grundlage für die Evaluation des Vertragspartners.,0.4469909071922302,-6.495592
ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,Erfahrung von mindestens zwei Jahren in der Ausführung von vergleichbaren Leistungen im Bereich Mit- tagsverpflegung von Kindern im Alter von ein bis zwölf Jahren.,0.5162183046340942,0.7536395
ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,Für Kinder die vegetarisch oder kein Schweinefleisch essen wird jeden Tag eine Ei- weisskomponente auf vegetarischer Basis angeboten.,0.54005366563797,-2.7017221
